dataset,algorithm,rt,centr,knn,ogf
Duo8eq,umap,-1.3978766396640452,0.0989017570927994,-0.516298818225418,-0.9570877289447316
FMNIST,umap,-0.1902282203683266,0.7276700947653973,-0.5776109436778093,-0.383919582023068
Kang,umap,-0.3204917358315676,-1.4442491830439967,0.5651477370148916,0.12232800059166202
MNIST,umap,-2.017451813888401,0.3861838424087277,0.70041465967456,-0.6585185771069205
Muraro,umap,-1.6678838913439662,-1.1174397513014354,0.6496929222002441,-0.509095484571861
TMLung,umap,-0.01153137407754635,-0.9981905838118041,0.6018589881951325,0.2951638070587931
TMPanc,umap,-0.45470299745925824,-0.032272327145794845,0.7366748804088159,0.14098594147477883
CAFs,pacmap,0.7942957096505001,0.8263216787795471,0.8487923102687932,0.8215440099596467
CellMix,pacmap,0.8835237357994352,0.15852634083761458,0.9032788153342427,0.893401275566839
Duo4eq,pacmap,0.5232640726679195,0.32547517532309794,-0.6351396063559862,-0.05593776684403334
Duo8eq,pacmap,0.501882869356724,0.8342716232788553,-0.43978488614135375,0.031048991607685122
FMNIST,pacmap,-0.06173581787644221,0.5607212602799149,-0.7272511244322727,-0.39449347115435746
Kang,pacmap,0.7427935538014886,-0.7012351394547588,0.6213480948124765,0.6820708243069826
MNIST,pacmap,-2.109779465358942,-0.5092689971043179,0.7323676219213234,-0.6887059217188094
Muraro,pacmap,0.020531858381043162,-1.5109620040172165,0.6553914815965133,0.33796166998877825
TMLung,pacmap,0.3794591792210785,0.32547517532309794,0.5875056630932693,0.48348242115717394
TMPanc,pacmap,-0.43148551577607086,0.18237617433554065,0.7141608351486237,0.14133765968627643
CAFs,$\alpha = $0.25,0.7245013215275065,0.8263216787795471,0.4946300273433692,0.6095656744354379
CellMix,$\alpha = $0.25,1.1842495295224795,0.8263216787795471,0.6004619612621412,0.8923557453923103
Duo4eq,$\alpha = $0.25,0.6876617692384516,1.3271681822359955,-1.9342484957832904,-0.6232933632724194
Duo8eq,$\alpha = $0.25,0.7141111096308227,1.271518570740836,-1.8251754436634542,-0.5555321670163158
FMNIST,$\alpha = $0.25,1.9963746793406392,1.3044024320788856,-2.2176153082965624,-0.11062031447796161
Kang,$\alpha = $0.25,0.9000428338118163,-0.7887957169821096,-0.9230005802037913,-0.011478873195987505
