dataset,alpha,rt,knn,ogf
CAFs,0.0,0.7891061452513967,0.9329608938547486,0.619356089754637
CAFs,0.05,0.7808379888268158,0.9329608938547486,0.5539790679685419
CAFs,0.1,0.7851396648044694,0.9343575418994413,0.5925333308514469
CAFs,0.15,0.7825698324022345,0.9357541899441341,0.5767539877905002
CAFs,0.2,0.7858100558659217,0.9385474860335196,0.6114557967220857
CAFs,0.25,0.790949720670391,0.9371508379888268,0.647555024932764
CAFs,0.3,0.7880446927374303,0.9343575418994413,0.6155036358033183
CAFs,0.35,0.7932960893854748,0.9315642458100558,0.6479457951925867
CAFs,0.4,0.7884916201117319,0.9315642458100558,0.6099564446952617
CAFs,0.45,0.79195530726257,0.9413407821229051,0.6691279106055452
CAFs,0.5,0.7854189944134078,0.9636871508379888,0.6900933978844321
CAFs,0.55,0.79268156424581,0.9832402234636871,0.8110867495071359
CAFs,0.6,0.7915083798882682,0.9916201117318436,0.8290535327323745
CAFs,0.65,0.7929608938547485,0.994413407821229,0.8496197693858845
CAFs,0.7,0.794413407821229,0.9958100558659218,0.8656454639506082
CAFs,0.75,0.7850279329608938,0.9972067039106145,0.7959742515795025
CAFs,0.8,0.7881564245810055,0.9972067039106145,0.8207115030661336
CAFs,0.85,0.7859217877094972,0.9972067039106145,0.8030420377185401
CAFs,0.9,0.78268156424581,0.9972067039106145,0.7774213129645298
CAFs,0.95,0.7756983240223464,0.9972067039106145,0.7222042337533005
CAFs,1.0,0.7760893854748602,0.9972067039106145,0.7252963901891278
CellMix,0.0,0.8129147043432757,0.9618001046572475,0.9013694936391634
CellMix,0.05,0.8158555729984303,0.9612768184196756,0.9229219759732089
CellMix,0.1,0.8136577708006278,0.9625850340136054,0.9097968112521853
CellMix,0.15,0.8124123495552066,0.9604918890633176,0.8931442855532099
CellMix,0.2,0.8138670852956567,0.9583987441130298,0.8978421326612095
CellMix,0.25,0.8109052851909995,0.9534275248560963,0.8582613516075288
CellMix,0.3,0.8129356357927786,0.9495028780743067,0.8615563707944662
CellMix,0.35,0.8034641548927264,0.9311878597592883,0.7271219193584727
CellMix,0.4,0.797069597069597,0.9445316588173731,0.7199406685353607
CellMix,0.45,0.7831083202511774,0.9746206174777603,0.7073677068246637
CellMix,0.5,0.7644374672946102,0.9984301412872841,0.6371411034005732
CellMix,0.55,0.7416849816849818,1.0,0.4623389036616856
CellMix,0.6,0.722333856619571,1.0,0.3093278985450353
CellMix,0.65,0.7110727367870225,1.0,0.2202852584663357
CellMix,0.7,0.7037885923600209,1.0,0.16268890391728774
CellMix,0.75,0.6942229199372056,1.0,0.08705231188017704
CellMix,0.8,0.6885400313971741,1.0,0.042117224925962427
CellMix,0.85,0.6830559916274203,1.0,-0.0012455477517671065
CellMix,0.9,0.6816117216117215,1.0,-0.01266551460201093
CellMix,0.95,0.6785766614338042,1.0,-0.03666399566411316
CellMix,1.0,0.6791732077446364,1.0,-0.03194705283466415
Duo4eq,0.0,0.787841762643966,0.556584877315974,-0.6142505112563441
Duo4eq,0.05,0.7858487731597397,0.5553329994992489,-0.6340791399975862
Duo4eq,0.1,0.7864296444667,0.556835252879319,-0.6246022727624082
Duo4eq,0.15,0.7856384576865297,0.5575863795693541,-0.6284163204692981
Duo4eq,0.2,0.7840060090135204,0.557336004006009,-0.6421382100988027
Duo4eq,0.25,0.7846469704556835,0.5635953930896345,-0.6167206229952731
Duo4eq,0.3,0.783815723585378,0.5623435152729094,-0.6273632532768909
Duo4eq,0.35,0.780150225338007,0.5635953930896345,-0.6522767722053741
Duo4eq,0.4,0.7800901352028042,0.5618427641462194,-0.6584497560629939
Duo4eq,0.45,0.7807711567351026,0.5608412618928392,-0.6563207724178266
Duo4eq,0.5,0.7755833750625939,0.5776164246369554,-0.6428044808586479
Duo4eq,0.55,0.7695042563845769,0.5701051577366049,-0.7152919335147226
Duo4eq,0.6,0.7633850776164246,0.5748622934401603,-0.7482112226945501
Duo4eq,0.65,0.7531296945418127,0.5968953430145217,-0.7576713519146125
Duo4eq,0.7,0.7446469704556835,0.6399599399098648,-0.6847407624444352
Duo4eq,0.75,0.7222734101151727,0.6985478217325989,-0.6711795702248482
Duo4eq,0.8,0.695322984476715,0.7361041562343515,-0.7621821964256289
Duo4eq,0.85,0.6896644967451178,0.7521281922884326,-0.754829752038119
Duo4eq,0.9,0.6838557836755133,0.757135703555333,-0.78448018431836
Duo4eq,0.95,0.6859789684526791,0.7531296945418127,-0.7807156282512837
Duo4eq,1.0,0.6870605908863295,0.7463695543314972,-0.7941405529509518
Duo8eq,0.0,0.7852679018527792,0.5708562844266399,-0.5882055031719526
Duo8eq,0.05,0.7853380070105157,0.5703555332999499,-0.5892791316804885
Duo8eq,0.1,0.7850175262894341,0.5731096644967452,-0.5828594422112372
Duo8eq,0.15,0.7838257386079118,0.5731096644967452,-0.5922830095965423
Duo8eq,0.2,0.7842663995993991,0.5728592889334001,-0.58961264335413
Duo8eq,0.25,0.7860490736104155,0.5803705558337506,-0.5510975470702908
Duo8eq,0.3,0.7862493740610916,0.5871306960440661,-0.5275363482082778
Duo8eq,0.35,0.7831647471206811,0.5908863294942414,-0.5397170878980055
Duo8eq,0.4,0.7862794191286929,0.6014021031547321,-0.4809020332316234
Duo8eq,0.45,0.7861692538808212,0.6151727591387081,-0.4370043292432631
Duo8eq,0.5,0.7836254381572358,0.6151727591387081,-0.45711849828416606
Duo8eq,0.55,0.7774061091637455,0.6206810215322984,-0.48838774988024436
Duo8eq,0.6,0.7585277916875313,0.6324486730095142,-0.5994032588071216
Duo8eq,0.65,0.7378968452679018,0.6409614421632449,-0.7348586690769564
Duo8eq,0.7,0.713420130195293,0.6552328492739109,-0.8820014078132561
Duo8eq,0.75,0.6813620430645969,0.6907861792689034,-1.019902575386786
Duo8eq,0.8,0.6669604406609915,0.7471206810215323,-0.9506322302281642
Duo8eq,0.85,0.6592889334001002,0.7731597396094141,-0.9266377838254403
Duo8eq,0.9,0.6548823234852279,0.7811717576364546,-0.9354339302298837
Duo8eq,0.95,0.6515272909364047,0.7866800200300451,-0.944054944244471
Duo8eq,1.0,0.6505758637956935,0.7816725087631448,-0.9678575202422233
FMNIST,0.0,0.8662657142857144,0.5099428571428571,-0.14578012119909434
FMNIST,0.05,0.8662880000000002,0.5107142857142857,-0.14309597015509368
FMNIST,0.1,0.8669439999999999,0.5094142857142857,-0.14213525848389907
FMNIST,0.15,0.8666417142857143,0.5116571428571428,-0.13723386587015718
FMNIST,0.2,0.8667360000000001,0.5134428571428571,-0.13068293325800573
FMNIST,0.25,0.8664948571428571,0.5200142857142858,-0.11122577132914335
FMNIST,0.3,0.8664011428571428,0.526,-0.09250705266728398
FMNIST,0.35,0.8645777142857142,0.5327571428571428,-0.08495739718324391
FMNIST,0.4,0.8618674285714286,0.5464571428571429,-0.06184877325692395
FMNIST,0.45,0.8564617142857143,0.5631428571428572,-0.05034649301151706
FMNIST,0.5,0.8472931428571429,0.5849857142857143,-0.051831430305787185
FMNIST,0.55,0.8332948571428572,0.6186428571428572,-0.05309675731279673
FMNIST,0.6,0.8139222857142858,0.6571,-0.08125208721955746
FMNIST,0.65,0.7934737142857143,0.6943428571428572,-0.12186311840760428
FMNIST,0.7,0.773744,0.7229857142857142,-0.18474892649599528
FMNIST,0.75,0.7574365714285716,0.7446428571428572,-0.24328518169424165
FMNIST,0.8,0.7456297142857145,0.7555857142857143,-0.3010674770237608
FMNIST,0.85,0.7372828571428572,0.7648857142857143,-0.3368322304764882
FMNIST,0.9,0.7322194285714286,0.7704428571428571,-0.3588027665626103
FMNIST,0.95,0.7293731428571429,0.7716428571428572,-0.37740735799199365
FMNIST,1.0,0.7286548571428572,0.7722571428571429,-0.3810898445824352
Kang,0.0,0.8002285877562683,0.7074791056504036,-0.025745441198596508
Kang,0.05,0.800388599185656,0.707336238302736,-0.024944682873482282
Kang,0.1,0.8003600257161226,0.7076219729980713,-0.024241684213214543
Kang,0.15,0.7997971283663119,0.7091935138224159,-0.02358343838655841
Kang,0.2,0.7982855918279876,0.7114079577112651,-0.028336068011544646
Kang,0.25,0.7970055003928851,0.7191227944853203,-0.013376709334044057
Kang,0.3,0.7960168583470248,0.7343381670119294,0.0282716174173695
Kang,0.35,0.7936766911922281,0.7499107079077076,0.06039448366584438
Kang,0.4,0.7923508822058718,0.7890563611686549,0.17717481846850064
Kang,0.45,0.7883248803485964,0.8451317951282235,0.3276436900983111
Kang,0.5,0.784761768697764,0.8846346167583399,0.42789464531711047
Kang,0.55,0.7760754339595686,0.908136295449675,0.43561567040808147
Kang,0.6,0.7650775055361099,0.9264947496249732,0.4083379584173886
Kang,0.65,0.7550710765054648,0.9349239231373669,0.3566197463387612
Kang,0.7,0.7439159939995713,0.9427101935852561,0.2937289367911449
Kang,0.75,0.7347124794628187,0.9462104436031145,0.2323353695012459
Kang,0.8,0.7299378527037645,0.9482105864704622,0.2010845070632637
Kang,0.85,0.723674548182013,0.9479248517751268,0.15063108964110922
Kang,0.9,0.7221715836845489,0.9475676834059575,0.13758585607359783
Kang,0.95,0.7206486177584114,0.9475676834059575,0.12554363391188764
Kang,1.0,0.7208914922494463,0.9479962854489606,0.12885746063806627
MNIST,0.0,0.6696188571428572,0.4154285714285714,-2.0079522837992134
MNIST,0.05,0.6696622857142857,0.41522857142857145,-2.0082590959883446
MNIST,0.1,0.6700091428571427,0.41805714285714285,-1.9963207015214246
MNIST,0.15,0.6700348571428572,0.41854285714285716,-1.9945383056507533
MNIST,0.2,0.6699365714285714,0.42375714285714283,-1.978363669656874
MNIST,0.25,0.6688805714285715,0.4317714285714286,-1.960658883857878
MNIST,0.3,0.6685571428571428,0.4405428571428571,-1.9347001002290432
MNIST,0.35,0.6663594285714287,0.45627142857142855,-1.9009435872782694
MNIST,0.4,0.6638679999999999,0.4803428571428571,-1.8423866350661147
MNIST,0.45,0.6589880000000001,0.5071571428571429,-1.7937992161997824
MNIST,0.5,0.6515862857142857,0.5543857142857143,-1.6987837911853207
MNIST,0.55,0.6437182857142856,0.6317714285714285,-1.5094136073774431
MNIST,0.6,0.6342691428571429,0.7557142857142857,-1.1811870743725914
MNIST,0.65,0.6285051428571429,0.8794571428571428,-0.8244720064480453
MNIST,0.7,0.6232125714285714,0.9426714285714286,-0.660809401107746
MNIST,0.75,0.6198182857142858,0.9616571428571429,-0.6259252179702208
MNIST,0.8,0.6166422857142857,0.9666714285714286,-0.6347365383532033
MNIST,0.85,0.6148822857142857,0.9680571428571428,-0.644148013130247
MNIST,0.9,0.6125914285714286,0.9688,-0.6598469675117535
MNIST,0.95,0.6130754285714286,0.9688285714285715,-0.6559270514939586
MNIST,1.0,0.612628,0.9688,-0.6595577940902937
Muraro,0.0,0.7581244522348817,0.6551270815074496,-0.5288643543459968
Muraro,0.05,0.754145486415425,0.6538124452234881,-0.5646002977963005
Muraro,0.1,0.7505696757230499,0.6454864154250657,-0.6199426966740996
Muraro,0.15,0.7539351446099912,0.647239263803681,-0.587633086223224
Muraro,0.2,0.7551971954425942,0.6248904469763366,-0.650310574380185
Muraro,0.25,0.7539351446099911,0.621384750219106,-0.6716868373182026
Muraro,0.3,0.7587905346187555,0.6468010517090271,-0.5506657409570538
Muraro,0.35,0.7661875547765119,0.738387379491674,-0.19442713987152874
Muraro,0.4,0.7746012269938649,0.845749342681858,0.22113725078649926
Muraro,0.45,0.7736722173531989,0.9233128834355828,0.46595274518656726
Muraro,0.5,0.7554601226993864,0.9544259421560035,0.4230975804821509
Muraro,0.55,0.7230324276950043,0.9566170026292725,0.17381221487842602
Muraro,0.6,0.6958632778264681,0.9596844872918493,-0.031044103754341634
Muraro,0.65,0.6760210341805435,0.9640666082383874,-0.17369202710644427
Muraro,0.7,0.6618404907975459,0.9640666082383874,-0.2858187995188193
Muraro,0.75,0.6545135845749342,0.9623137598597721,-0.3494518346485522
Muraro,0.8,0.647028921998247,0.9601226993865031,-0.4157569026455383
Muraro,0.85,0.6430499561787906,0.9623137598597721,-0.4400957273033011
Muraro,0.9,0.6369675723049956,0.9601226993865031,-0.4953128573608681
Muraro,0.95,0.6398948290972831,0.9609991235758107,-0.46931750721419546
Muraro,1.0,0.6375109553023663,0.9609991235758107,-0.4881670017112079
TMLung,0.0,0.8318763796909494,0.9006622516556292,0.8525402061883439
TMLung,0.05,0.8324944812362031,0.9006622516556292,0.8574275881045751
TMLung,0.1,0.8381456953642384,0.9006622516556292,0.9021122227672755
TMLung,0.15,0.8333774834437087,0.9006622516556292,0.8644095622706226
TMLung,0.2,0.8385871964679913,0.8984547461368654,0.8984265472993684
TMLung,0.25,0.8301986754966888,0.9006622516556292,0.8392744552728538
TMLung,0.3,0.83682119205298,0.8940397350993378,0.8701092738654101
TMLung,0.35,0.8298454746136865,0.8940397350993378,0.8149516779536408
TMLung,0.4,0.826401766004415,0.8830022075055187,0.7518386659514014
TMLung,0.45,0.8196909492273731,0.8807947019867549,0.6915989997385144
TMLung,0.5,0.80158940397351,0.8807947019867549,0.5484685293345537
TMLung,0.55,0.7928476821192053,0.8807947019867549,0.4793469850906893
