,dataset,algorithm,rt,centr,knn,ogf
57,Muraro,$\alpha = $0.5,0.7562313759859773,0.6634920634920635,0.9544259421560035,0.8089590028240334
58,TMLung,$\alpha = $0.5,0.8125386313465783,0.7952380952380952,0.8807947019867549,0.838016398612425
59,TMPanc,$\alpha = $0.5,0.8303047091412742,0.919047619047619,0.8947368421052632,0.9068922305764411
60,CAFs,$\alpha = $0.75,0.788826815642458,0.8666666666666667,0.9972067039106145,0.9319366852886406
61,CellMix,$\alpha = $0.75,0.6929670329670329,0.6,1.0,0.8
62,Duo4eq,$\alpha = $0.75,0.7244767150726089,0.6,0.6985478217325989,0.6492739108662995
63,Duo8eq,$\alpha = $0.75,0.6784476715072609,0.7936507936507936,0.6907861792689034,0.7422184864598484
64,FMNIST,$\alpha = $0.75,0.7577851428571428,0.8707070707070707,0.7446428571428572,0.8076749639249639
65,Kang,$\alpha = $0.75,0.7343838845631832,0.5651015651015651,0.9462104436031145,0.7556560043523397
66,MNIST,$\alpha = $0.75,0.6200022857142857,0.8111111111111111,0.9616571428571429,0.886384126984127
67,Muraro,$\alpha = $0.75,0.6551270815074497,0.5857142857142857,0.9623137598597721,0.7740140227870289
68,TMLung,$\alpha = $0.75,0.7490507726269315,0.6571428571428571,0.9359823399558499,0.7965625985493535
69,TMPanc,$\alpha = $0.75,0.7403324099722991,0.7904761904761904,0.9702216066481995,0.880348898562195
