,Unnamed: 0,dataset,algorithm,rt,centr,knn,ogf
0,0,CAFs,pca,0.7545394126184154,0.3254751753230979,0.467386774810644,0.6109630937145297
1,1,CellMix,pca,1.15445831165228,0.9932705132650296,0.6549009462638675,0.9046796289580736
2,2,Duo4eq,pca,0.746895621374655,1.3271681822359955,-1.9798312638333715,-0.6164678212293582
3,3,Duo8eq,pca,0.7236138666580215,1.271518570740836,-1.8870377717314213,-0.5817119525366998
4,4,FMNIST,pca,1.9897959840024215,1.2816366819217733,-2.2831003035987956,-0.1466521597981869
5,5,Kang,pca,0.9626714263676542,-0.7537714859711695,-0.9987085002121072,-0.0180185369222264
6,6,MNIST,pca,-1.1218546176183832,0.5151897599656919,-2.8976375077400323,-2.009746062679208
7,7,Muraro,pca,0.2522697613149007,0.301625341825171,-1.3391043070978668,-0.543417272891483
8,8,TMLung,pca,1.5133317837870897,0.5401236768044334,0.2573791857504341,0.8853554847687619
9,9,TMPanc,pca,1.7443867770615942,1.3987176827297745,-0.3890273826008234,0.6776796972303853
10,10,CAFs,tsne,0.5610587670622667,1.8280146856924455,0.8397112260912174,0.700384996576742
11,11,CellMix,tsne,0.0957115298986745,-0.6762178315898013,0.9032788153342428,0.4994951726164586
12,12,Duo4eq,tsne,-0.8270777008969882,-1.1770643350462506,-0.6416514303631403,-0.7343645656300642
13,13,Duo8eq,tsne,-0.7787720193420616,-0.0799719941416469,-0.4772278741824917,-0.6279999467622767
14,14,FMNIST,tsne,0.0170729761408433,0.6745500110654714,-0.081782709744024,-0.0323548668015903
15,15,Kang,tsne,0.2605624284364822,-0.8238199479930506,0.5586452162779808,0.4096038223572315
16,16,MNIST,tsne,-1.8680575950266067,-0.0235996604192764,0.7359901961295318,-0.5660336994485375
17,17,Muraro,tsne,-0.5729500198263519,-1.785235089243367,0.6582407612946465,0.0426453707341473
18,18,TMLung,tsne,0.7215759133573757,-0.0680470773926839,0.6592722886025825,0.6904241009799791
19,19,TMPanc,tsne,-0.2435553338498853,0.1823761743355406,0.7772001618771629,0.2668224140136388
20,20,CAFs,umap,0.5531075076558515,0.8263216787795471,0.8851166469790919,0.7191120773174717
21,21,CellMix,umap,-0.9532703526641472,-1.5109620040172165,0.9032788153342428,-0.0249957686649521
22,22,Duo4eq,umap,-0.8680979353977267,-2.679603845415598,-0.7458406144776113,-0.806969274937669
23,23,Duo8eq,umap,-1.3978766396640452,0.0989017570927994,-0.516298818225418,-0.9570877289447316
24,24,FMNIST,umap,-0.1902282203683266,0.7276700947653973,-0.5776109436778093,-0.383919582023068
25,25,Kang,umap,-0.3204917358315676,-1.4442491830439967,0.5651477370148916,0.122328000591662
26,26,MNIST,umap,-2.017451813888401,0.3861838424087277,0.70041465967456,-0.6585185771069205
27,27,Muraro,umap,-1.6678838913439662,-1.1174397513014354,0.6496929222002441,-0.509095484571861
28,28,TMLung,umap,-0.0115313740775463,-0.998190583811804,0.6018589881951325,0.2951638070587931
29,29,TMPanc,umap,-0.4547029974592582,-0.0322723271457948,0.7366748804088159,0.1409859414747788
30,30,CAFs,pacmap,0.7942957096505001,0.8263216787795471,0.8487923102687932,0.8215440099596467
31,31,CellMix,pacmap,0.8835237357994352,0.1585263408376145,0.9032788153342428,0.893401275566839
32,32,Duo4eq,pacmap,0.5232640726679195,0.3254751753230979,-0.6351396063559862,-0.0559377668440333
33,33,Duo8eq,pacmap,0.501882869356724,0.8342716232788553,-0.4397848861413537,0.0310489916076851
34,34,FMNIST,pacmap,-0.0617358178764422,0.5607212602799149,-0.7272511244322727,-0.3944934711543574
35,35,Kang,pacmap,0.7427935538014886,-0.7012351394547588,0.6213480948124765,0.6820708243069826
36,36,MNIST,pacmap,-2.109779465358942,-0.5092689971043179,0.7323676219213234,-0.6887059217188094
37,37,Muraro,pacmap,0.0205318583810431,-1.5109620040172165,0.6553914815965133,0.3379616699887782
38,38,TMLung,pacmap,0.3794591792210785,0.3254751753230979,0.5875056630932693,0.4834824211571739
39,39,TMPanc,pacmap,-0.4314855157760708,0.1823761743355406,0.7141608351486237,0.1413376596862764
40,40,CAFs,$\alpha = $0.25,0.7245013215275065,0.8263216787795471,0.4946300273433692,0.6095656744354379
41,41,CellMix,$\alpha = $0.25,1.1842495295224795,0.8263216787795471,0.6004619612621412,0.8923557453923103
42,42,Duo4eq,$\alpha = $0.25,0.6876617692384516,1.3271681822359955,-1.9342484957832904,-0.6232933632724194
43,43,Duo8eq,$\alpha = $0.25,0.7141111096308227,1.271518570740836,-1.8251754436634544,-0.5555321670163158
44,44,FMNIST,$\alpha = $0.25,1.9963746793406392,1.3044024320788856,-2.2176153082965624,-0.1106203144779616
45,45,Kang,$\alpha = $0.25,0.9000428338118163,-0.7887957169821096,-0.9230005802037912,-0.0114788731959875
46,46,MNIST,$\alpha = $0.25,-1.133322151113158,0.4924240098085804,-2.7913753309659124,-1.9623487410395353
47,47,Muraro,$\alpha = $0.25,0.2370238466481988,0.3254751753230979,-1.5584988438542486,-0.6607374986030249
48,48,TMLung,$\alpha = $0.25,1.5147281786202993,0.6116731772982117,0.2573791857504341,0.8860536821853667
49,49,TMPanc,$\alpha = $0.25,1.709779587382877,1.3987176827297745,-0.2989712015600517,0.7054041929114125
50,50,CAFs,$\alpha = $0.5,0.7457046799446183,0.8263216787795471,0.6671706267172937,0.706437653330956
51,51,CellMix,$\alpha = $0.5,0.3964373236217153,-0.5092689971043179,0.8930715056464182,0.6447544146340668
52,52,Duo4eq,$\alpha = $0.5,0.545120413830475,0.3254751753230979,-1.843082959683129,-0.648981272926327
